121,2018-2019,Spring,6,14/02/2019,2019,Translation alignment and language pedagogy,Maryam Foradi,University of Leipzig,Farnoosh Shamsian,University of Tehran,,,,,,,,,,,translation,treebank,annotation,teaching and pedagogy,,,
122,2018-2019,Spring,7,21/02/2019,2019,Using treebanked corpora: Universal Dependencies,Timo Korkiakangas,University of Helsinki,Marco Passarotti,"Università Cattolica del Sacro Cuore, Milan",,,,,,,,,,,treebank,annotation,,,,,
123,2018-2019,Spring,8,28/02/2019,2019,Introduction to programming through R,Christopher Ohge,University of London,Gabriel Bodard,University of London,,,,,,,,,,,data mining,,,,,,
124,2018-2019,Spring,9,07/03/2019,2019,Digital methods in ancient palaeography,Yasmine Amory,University of Ghent,Isabelle Marthot-Santaniello,University of Basel,Simona Stoyanova,King's College London,,,,,,,,,paleography,digital methods,text analysis,text mining,,,
125,2018-2019,Spring,10,14/03/2019,2019,"Text analysis, stylometry, visualisation using R",Maciej Eder,Kraków University,Robert Gorman,University of Nebraska-Lincoln,Christopher Ohge,University of London,,,,,,,,,text analysis,text mining,visualisation,,,,
126,2018-2019,Summer,1,04/04/2019,2019,Introduction to SunoikisisDC Summer 2019,Monica Berti,University of Leipzig,,,,,,,,,,,,,,,,,,,
127,2018-2019,Summer,2,11/04/2019,2019,Digital Philology,Federico Boschetti,"Istituto di Linguistica Computazionale «A. Zampolli», CNR, Pisa",Angelo Mario Del Grosso,"Istituto di Linguistica Computazionale «A. Zampolli», CNR, Pisa",,,,,,,,,,,encoding,annotation,text analysis,text mining,visualisation,,
128,2018-2019,Summer,3,18/04/2019,2019,"Digital Scholarly Edition: Needs, Experiences, Possibilities",Neven Jovanović,University of Zagreb,,,,,,,,,,,,,scholarly editing,,,,,,
129,2018-2019,Summer,5,02/05/2019,2019,Programming for Humanists,Angelos Barmpoutis,University of Florida,Eleni Bozia,University of Florida,,,,,,,,,,,digital methods,encoding,text analysis,translation,,,
130,2018-2019,Summer,6,09/05/2019,2019,"Stylometric Analysis of Greek, Using Vocabulary, Grammar, and Syntax",Eleni Bozia,University of Florida,,,,,,,,,,,,,text analysis,treebank,visualisation,,,,
