n_total,Institutions
1,Leipzig University
2,Leipzig University
3,"Center for Hellenic Studies, Harvard University"
4,Tbilisi State University
4,Tbilisi State University
5,Deutsches Archäologisches Institut
6,University Lyon 2
6,Tufts University
7,University Lyon 2
8,Leipzig University
9,University of Sofia
9,University of Sofia
10,Universidade Estadual Paulista
11,University of Zagreb
12,Leipzig University
13,Leipzig University
13,Tufts University
13,Leipzig University
13,"Center for Hellenic Studies, Harvard University"
14,Leipzig University
15,Leipzig University
15,University of Oslo
16,Leipzig University
17,University of London
17,University of Bari
17,Leipzig University
18,University of Oslo
18,University of London
18,King’s College London
19,Tufts University
19,University of London
19,Tufts University
19,University of Heidelberg
20,University of Florida
20,University of Florida
20,King’s College London
21,King’s College London
21,University of London
22,Franklin & Marshall College
22,University of Iowa
22,Tufts University
22,Rhodes College
22,"Center for Hellenic Studies, Harvard University"
23,University Lyon 2
24,University Paris Nanterre
25,University of Florida
26,Ain Shams University
26,University of Heidelberg
26,Tufts University
27,University of Bari
27,Leipzig University
27,Leipzig University
28,University of Zagreb
28,University of Zagreb
28,University of Zagreb
28,University of Zagreb
29,Universidade Estadual Paulista
30,Tbilisi State University
31,University of Freiburg
31,Leipzig University
31,University of Bari
31,Leipzig University
32,Leipzig University
32,University of Freiburg
33,Leipzig University
33,Tufts University
33,Leipzig University
34,Tbilisi State University
35,University of Sofia
36,Leipzig University
37,University of London
38,"Institute for the Study of the Ancient World, New York University"
39,King’s College London
39,Ain Shams University 
39,University of Heidelberg
39,University of London
40,King’s College London
41,"Institute for the Study of the Ancient World, New York University"
42,Lancaster University
43,Roehampton University
43,University of Exeter
44,"Institute for the Study of the Ancient World, New York University"
44,"Institute for the Study of the Ancient World, New York University"
45,Institute of Historical Research
45,Institute of Historical Research
45,School of Advanced Study
46,Katholieke Universiteit Leuven
46,University of London
47,King’s College London
48,Leipzig University
49,Leipzig University
49,University of Bari
49,King’s College London
50,University of London
50,King’s College London
51,University of Sofia
51,University of Helsinki
52,University of Oslo
53,Leipzig University
54,Ain Shams University
55,Babeș-Bolyai University
55,University of London
56,University of Oslo
56,Alan Turing Institute
56,University of Cambridge
57,Deutsches Archäologisches Institut
57,Deutsches Archäologisches Institut
58,University of Florida
58,Universidade Estadual Paulista
59,Tbilisi State University
60,University of Tehran
60,University of Tehran
61,Deutsches Archäologisches Institut
61,Deutsches Archäologisches Institut
62,University of Oslo
63,Leipzig University
63,University of London
63,University of London
64,University of Parma
64,University of Trier
64,University of Helsinki
64,University of London
65,Leipzig University
65,University of Tehran
66,Leipzig University
67,University of Zagreb
68,University of Freiburg
69,University of Sofia
69,University of Sofia
69,University of Sofia
70,Leipzig University
70,University of Bari
70,University of London
70,Leipzig University
71,Leipzig University
72,University of London
72,"Institute for the Study of the Ancient World, New York University"
72,University of London
72,Babeș-Bolyai University
73,King’s College London
74,Open University
74,University of London
75,Open University
75,University of London
76,Leipzig University
76,University of Bari
76,"Institute for the Study of the Ancient World, New York University"
77,University of London
77,"Institute for the Study of the Ancient World, New York University"
77,Babeș-Bolyai University
78,Deutsches Archäologisches Institut
78,École polytechnique fédérale de Lausanne
78,University of London
79,King’s College London
79,University of London
79,University of London
80,University of London
80,Babeș-Bolyai University
81,King’s College London
81,University of Bonn
81,University of London
82,King’s College London
82,SketchFab
82,University of London
83,University of London
83,University of London
83,University of Virginia
84,University of Bordeaux
84,University of Pittsburgh
85,University of London
85,University of Reading
85,SketchFab
86,Leipzig University
86,Leipzig University
86,University of Tehran
86,University of London
87,University of London
87,University of London
87,University of London
88,Leipzig University
88,University of London
88,University of Köln
89,Leipzig University
89,University of London
90,University of London
90,University of London
90,University of London
91,University of Helsinki
91,University of Sofia
91,University of London
92,University of Oslo
92,Deutsches Archäologisches Institut
93,Deutsches Archäologisches Institut
93,University of London
94,Alan Turing Institute
94,University of Cambridge
94,École polytechnique fédérale de Lausanne
95,Duke University
95,University of London
96,"Institute for the Study of the Ancient World, New York University"
97,Eldarion
98,University of Florida
98,Universidade Estadual Paulista
99,Leipzig University
99,University of Bari
99,University of London
100,Babeș-Bolyai University
100,University of London
101,University of Florida
101,University of Florida
102,University of Zagreb
102,University of Zagreb
102,University of Zagreb
103,Leipzig University
103,University of Tehran
103,University of Tehran
104,University of Parma
104,University of Helsinki
105,University of London
106,Leipzig University
106,Leipzig University
106,Leipzig University
106,Leipzig University
107,Binghamton University
107,University of Pittsburgh
107,University of London
108,Open University
108,British Library
108,University of London
109,University of London
109,University of London
110,Babeș-Bolyai University
110,Babeș-Bolyai University
110,University of Lancaster
111,University of South Florida
111,University of London
111,University of Portsmouth
112,University of London
112,University of London
112,Duke University
112,"Institute for the Study of the Ancient World, New York University"
112,University of Oxford
112,University of Oxford
112,University of Exeter
113,SketchFab
113,Glasgow University
113,University of London
114,University of Oxford
115,University of London
115,King’s College London
115,University of Exeter
116,University of London
116,Brown University
117,University of Chicago
117,Alpheios
117,University of Helsinki
118,Boğaziçi University
118,Haifa University
118,University of London
119,Birkbeck University
119,University of London
120,University of Helsinki
120,University of Helsinki
121,Leipzig University
121,University of Tehran
122,University of Helsinki
122,Università Cattolica del Sacro Cuore
123,University of London
123,University of London
124,University of Ghent
124,University of Basel
124,King’s College London
125,Kraków University
125,University of Nebraska Lincoln
125,University of London
126,Leipzig University
