Source,Target,Weight
Tufts University,University Lyon 2,1
"Center for Hellenic Studies, Harvard University",Leipzig University,1
"Center for Hellenic Studies, Harvard University",Tufts University,2
Leipzig University,Tufts University,2
Leipzig University,University of Oslo,1
Leipzig University,University of Bari,7
Leipzig University,University of London,22
University of Bari,University of London,3
King’s College London,University of London,15
King’s College London,University of Oslo,1
University of London,University of Oslo,1
Tufts University,University of Heidelberg,2
Tufts University,University of London,1
University of Heidelberg,University of London,2
King’s College London,University of Florida,1
"Center for Hellenic Studies, Harvard University",Franklin & Marshall College,1
"Center for Hellenic Studies, Harvard University",Rhodes College,1
"Center for Hellenic Studies, Harvard University",University of Iowa,1
Franklin & Marshall College,Rhodes College,1
Franklin & Marshall College,Tufts University,1
Franklin & Marshall College,University of Iowa,1
Rhodes College,Tufts University,1
Rhodes College,University of Iowa,1
Tufts University,University of Iowa,1
Ain Shams University,Tufts University,1
Ain Shams University,University of Heidelberg,2
Leipzig University,University of Freiburg,2
University of Bari,University of Freiburg,1
Ain Shams University,King’s College London,1
Ain Shams University,University of London,2
King’s College London,University of Heidelberg,1
Roehampton University,University of Exeter,1
Institute of Historical Research,School of Advanced Study,1
Katholieke Universiteit Leuven,University of London,2
King’s College London,Leipzig University,4
King’s College London,University of Bari,1
University of Helsinki,University of Sofia,2
Babeș-Bolyai University,University of London,5
Alan Turing Institute,University of Cambridge,6
Alan Turing Institute,University of Oslo,1
University of Cambridge,University of Oslo,1
Universidade Estadual Paulista,University of Florida,2
University of Helsinki,University of London,8
University of Helsinki,University of Parma,2
University of Helsinki,University of Trier,1
University of London,University of Parma,1
University of London,University of Trier,1
University of Parma,University of Trier,1
Leipzig University,University of Tehran,4
Babeș-Bolyai University,"Institute for the Study of the Ancient World, New York University",2
"Institute for the Study of the Ancient World, New York University",University of London,4
Open University,University of London,4
"Institute for the Study of the Ancient World, New York University",Leipzig University,1
"Institute for the Study of the Ancient World, New York University",University of Bari,1
Deutsches Archäologisches Institut,University of London,2
Deutsches Archäologisches Institut,École polytechnique fédérale de Lausanne,1
University of London,École polytechnique fédérale de Lausanne,2
King’s College London,University of Bonn,1
University of Bonn,University of London,1
King’s College London,SketchFab,1
SketchFab,University of London,3
University of London,University of Virginia,1
University of Bordeaux,University of Pittsburgh,1
SketchFab,University of Reading,1
University of London,University of Reading,1
University of London,University of Tehran,1
Leipzig University,University of Köln,2
University of Köln,University of London,3
University of London,University of Sofia,1
Deutsches Archäologisches Institut,University of Oslo,1
Alan Turing Institute,École polytechnique fédérale de Lausanne,1
University of Cambridge,École polytechnique fédérale de Lausanne,1
Duke University,University of London,2
Binghamton University,University of London,1
Binghamton University,University of Pittsburgh,1
University of London,University of Pittsburgh,1
British Library,Open University,1
British Library,University of London,2
Babeș-Bolyai University,University of Lancaster,1
University of London,University of Portsmouth,1
University of London,University of South Florida,1
University of Portsmouth,University of South Florida,1
Duke University,"Institute for the Study of the Ancient World, New York University",1
Duke University,University of Exeter,1
Duke University,University of Oxford,1
"Institute for the Study of the Ancient World, New York University",University of Exeter,1
"Institute for the Study of the Ancient World, New York University",University of Oxford,1
University of Exeter,University of London,7
University of Exeter,University of Oxford,1
University of London,University of Oxford,2
Glasgow University,SketchFab,1
Glasgow University,University of London,1
King’s College London,University of Exeter,1
Brown University,University of London,1
Alpheios,University of Chicago,1
Alpheios,University of Helsinki,1
University of Chicago,University of Helsinki,1
Boğaziçi University,Haifa University,1
Boğaziçi University,University of London,1
Haifa University,University of London,1
Birkbeck University,University of London,2
University of Helsinki,Università Cattolica del Sacro Cuore,1
King’s College London,University of Basel,1
King’s College London,University of Ghent,1
University of Basel,University of Ghent,1
Kraków University,University of London,1
Kraków University,University of Nebraska Lincoln,1
University of London,University of Nebraska Lincoln,1
Heidelberg Academy of Sciences and Humanities,Ilia State University,1
Heidelberg Academy of Sciences and Humanities,Leipzig University,1
Heidelberg Academy of Sciences and Humanities,University of London,1
Ilia State University,Leipzig University,1
Ilia State University,University of London,1
Leipzig University,Stellenbosch University,3
Stellenbosch University,University of London,1
King’s College London,University of Leiden,1
University of Leiden,University of London,2
Ain Shams University,"Royal Holloway, University of London",1
Ain Shams University,University of Lancaster,1
"Royal Holloway, University of London",University of Lancaster,1
Cyprus Institute,University of Amsterdam,1
Cyprus Institute,University of Ghent,1
Cyprus Institute,University of Leiden,1
Cyprus Institute,University of London,1
University of Amsterdam,University of Ghent,1
University of Amsterdam,University of Leiden,2
University of Amsterdam,University of London,1
University of Ghent,University of Leiden,1
University of Ghent,University of London,1
"Institute for the Study of the Ancient World, New York University",University of Göteborg,1
University of Göteborg,University of London,1
Open University,École polytechnique fédérale de Lausanne,2
University of Exeter,Wikimedia UK,1
University of London,Wikimedia UK,6
Furman University,University of Massachusetts Amherst,2
British Library,King’s College London,1
Alan Turing Institute,University College London,1
Alan Turing Institute,University of London,1
University College London,University of Cambridge,1
University College London,University of London,1
University of Cambridge,University of London,2
University of Hamburg,University of London,1
University of Hamburg,Wikimedia UK,1
Open University,The Watercolour World,1
The Watercolour World,École polytechnique fédérale de Lausanne,1
University of Köln,University of Nottingham,1
