Nom,Nombre d'apparitions/nombre total de conférences,Fréquence (en %),Genre,Column 5
Adina Puscasu, 1/220,"0,45%",F,
Alessandro Vatri,1/220,"0,45%",M,
Alice Bencivenni,1/220,"0,45%",F,
Ana Vragolović,1/220,"0,45%",F,
Andrew Meadows,1/220,"0,45%",M,
Andrew Reinhard,1/220,"0,45%",M,
Angelo Mario Del Grosso,1/220,"0,45%",M,
Anne Chen,1/220,"0,45%",F,
Antonis Hadjikyriacou,1/220,"0,45%",M,
Arianna Ciula,1/220,"0,45%",F,
Bridget Almas,1/220,"0,45%",F,
Brigitte Vézina,1/220,"0,45%",F,
Caio Camargo,1/220,"0,45%",M,
Caroline Schroeder,1/220,"0,45%",F,
Charlotte Roueché,1/220,"0,45%",F,
Chris Donaldson,1/220,"0,45%",M,
Christopher W. Blackwell,1/220,"0,45%",M,
Coré Ferrer-Alcantud,1/220,"0,45%",F,
Corina Willkommen,1/220,"0,45%",F,
Dan Pett,1/220,"0,45%",M,
Daniel O'Flynn,1/220,"0,45%",M,
Dinusha Mendis,1/220,"0,45%",F,
Dunja Ševerdija,1/220,"0,45%",F,
Effie Kapsalis,1/220,"0,45%",F,
Elisa Bonacini,1/220,"0,45%",F,
Eugenio Falcioni,1/220,"0,45%",M,
Evelin Heidel,1/220,"0,45%",F,
Federico Boschetti,1/220,"0,45%",M,
Frank Grieshaber,1/220,"0,45%",M,
Gethin Rees,1/220,"0,45%",M,
Greg Woolf,1/220,"0,45%",M,
Grigor Boykov,1/220,"0,45%",M,
Gwen Gruber,1/220,"0,45%",F,
Helma Dik,1/220,"0,45%",F,
Humphrey Southall,1/220,"0,45%",M,
Isabelle Marthot-Santaniello,1/220,"0,45%",F,
J. Matthew Harrington,1/220,"0,45%",M,
James Morley,1/220,"0,45%",M,
Jane Winters,1/220,"0,45%",F,
Jeffrey Becker,1/220,"0,45%",M,
Jen Baird,1/220,"0,45%",F,
Jens Wittig,1/220,"0,45%",M,
Johan Åhlfeldt,1/220,"0,45%",M,
Jonathan Prag,1/220,"0,45%",M,
Josephine Hensel,1/220,"0,45%",F,
Karsten Tolle,1/220,"0,45%",M,
Katharine Shields,1/220,"0,45%",F,
Katy Felkner,1/220,"0,45%",F,
Kelly McClinton,1/220,"0,45%",F,
Leif Isaksen,1/220,"0,45%",M,
Leonard Bruckner,1/220,"0,45%",M,
Lily Grozdanova,1/220,"0,45%",F,
Maciej Eder,1/220,"0,45%",M,
Maia Shukhosvili,1/220,"0,45%",F,
Majd Al-shihabi,1/220,"0,45%",M,
