institution,freq
University of London,91
University of Leipzig,59
King's College London,19
University of Exeter,13
University of Florida,13
University of Helsinki,13
University of Sofia,12
University of Zagreb,12
"Institute for the Study of the Ancient World, New York University",10
"Babeș-Bolyai University, Cluj-Napoca",9
British Library,8
University of Oxford,8
Universidade Estadual Paulista,8
"Deutsches Archäologisches Institut, Berlin",8
Tufts University,7
University of Tehran,7
Katholieke Universiteit Leuven,7
Open University,6
Furman University,6
University of Bari,6
University of Oslo,6
"Tbilisi State University, Georgia",6
École polytechnique fédérale de Lausanne,6
Alan Turing Institute,5
University of Bologna,5
Eldarion,4
SketchFab,4
Wikimedia UK,4
British Museum,4
Paris Nanterre University,4
University of Cambridge,4
"Ain Shams University, Cairo",4
Brown University,3
University Lyon II,3
University of Leiden,3
Recollection Heritage,3
University of Freiburg,3
University of Heidelberg,3
University of Nebraska-Lincoln,3
"University of Massachusetts, Amherst",3
"Center for Hellenic Studies, Harvard University",3
Duke University,2
Creative Commons,2
University of Köln,2
University of Ghent,2
University of Parma,2
Europeana Foundation,2
University of Reading,2
University of Bordeaux,2
University of Lausanne,2
University of Oklahoma,2
University of Amsterdam,2
University of Lancaster,2
University of Pittsburgh,2
Paris Sorbonne University,2
Institute of Historical Research,2
"Università Cattolica del Sacro Cuore, Milan",2
"Istituto di Linguistica Computazionale «A. Zampolli», CNR, Pisa",2
Alpheios,1
Rhodes College,1
Yale University,1
Cyprus Institute,1
Haifa University,1
A Street Near You,1
Durham University,1
Kraków University,1
Glasgow University,1
Indiana University,1
University of Bonn,1
University of Iowa,1
Birkbeck University,1
Boğaziçi University,1
Museo Egizio Torino,1
New York University,1
Palestine Open Maps,1
Universitat Jaume I,1
University of Basel,1
University of Milan,1
University of Trier,1
Lancaster University,1
Science Museum Group,1
University of Surrey,1
Binghamton University,1
Roehampton University,1
Smithsonian Institute,1
The Watercolour World,1
University of Antwerp,1
University of Chicago,1
University of Hamburg,1
University of Toronto,1
Bournemouth University,1
Frankfurt Bid Data Lab,1
University of Göteborg,1
University of Virginia,1
Stellenbosch University,1
School of Advanced Study,1
University of Nottingham,1
University of Portsmouth,1
University College London,1
University of the Pacific,1
Franklin & Marshall College,1
University of South Florida,1
Mississippi State University,1
Hebrew University of Jerusalem,1
"Ilia State University, Georgia",1
Austrian Institute of Technology,1
"Royal Holloway University, London",1
"CY Tech, CY Cergy Paris University",1
"University of California, Berkeley",1
Heidelberg Academy of Sciences and Humanities,1
Fondazione Museo delle Antichità Egizie di Torino,1
