Terme;Collocation;Total (contexte)
open;data;63
data;mining;58
text;text;58
annotation;text;57
data;linked;56
linked;data;55
text;mining;54
linked;open;53
text;analysis;52
text;annotation;48
annotation;annotation;41
text;encoding;41
encoding;annotation;40
mining;text;38
annotation;encoding;37
data;data;36
data;visualisation;34
visualisation;text;34
mining;data;34
encoding;text;34
treebank;annotation;34
data;annotation;33
annotation;treebank;33
annotation;data;32
text;visualisation;32
visualisation;visualisation;32
visualisation;data;32
mining;mining;32
data;encoding;31
treebank;text;31
data;text;30
text;data;30
encoding;data;30
mining;encoding;29
mining;annotation;29
mining;visualisation;28
encoding;mining;28
treebank;encoding;27
text;treebank;26
encoding;encoding;26
annotation;visualisation;25
annotation;open;25
visualisation;open;25
open;visualisation;25
open;annotation;25
encoding;treebank;25
treebank;treebank;25
data;mapping;23
annotation;named;23
annotation;mining;23
visualisation;mining;23
visualisation;maps;23
mining;treebank;23
annotation;translation;22
visualisation;annotation;22
encoding;visualisation;22
data;open;21
data;maps;21
annotation;linked;21
annotation;entities;21
visualisation;linked;21
visualisation;digitisation;21
digital;methods;21
text;digital;20
visualisation;encoding;20
open;digital;20
mining;analysis;20
digital;text;20
digital;open;20
data;database;19
treebank;data;19
data;treebank;18
annotation;analysis;18
open;license;18
linked;maps;18
treebank;mining;18
annotation;epigraphy;17
annotation;digital;17
visualisation;digital;17
visualisation;analysis;17
open;access;17
encoding;translation;17
linked;visualisation;17
linked;annotation;17
digital;library;17
digital;annotation;17
treebank;translation;17
visualisation;cultural;16
open;open;16
open;mapping;16
open;encoding;16
encoding;open;16
digital;archives;16
data;standards;15
text;translation;15
visualisation;objects;15
visualisation;mapping;15
open;maps;15
encoding;named;15
encoding;linked;15
open;data;63
data;mining;58
text;text;58
annotation;text;57
data;linked;56
linked;data;55
text;mining;54
linked;open;53
text;analysis;52
text;annotation;48
annotation;annotation;41
text;encoding;41
encoding;annotation;40
mining;text;38
annotation;encoding;37
data;data;36
data;visualisation;34
visualisation;text;34
mining;data;34
encoding;text;34
treebank;annotation;34
data;annotation;33
annotation;treebank;33
annotation;data;32
text;visualisation;32
visualisation;visualisation;32
visualisation;data;32
mining;mining;32
data;encoding;31
treebank;text;31
data;text;30
text;data;30
encoding;data;30
mining;encoding;29
