Terme;Collocation;Total (contexte)
digitisation;visualisation;11
digitisation;visualisation;11
treebank;annotation;10
treebank;annotation;10
annotation;treebank;9
annotation;treebank;9
translation;treebank;8
translation;treebank;8
encoding;annotation;7
encoding;annotation;7
text_analysis;text_mining;7
text_analysis;text_mining;7
visualisation;maps_and_mapping;7
visualisation;digitisation;7
visualisation;maps_and_mapping;7
visualisation;digitisation;7
annotation;encoding;6
annotation;encoding;6
linked_open_data;visualisation;6
linked_open_data;standards;6
linked_open_data;database;6
linked_open_data;visualisation;6
linked_open_data;standards;6
linked_open_data;database;6
annotation;text_analysis;5
annotation;text_analysis;5
encoding;translation;5
encoding;translation;5
text_mining;annotation;5
text_mining;annotation;5
visualisation;objects_and_artefacts;5
visualisation;cultural_studies;5
visualisation;objects_and_artefacts;5
visualisation;cultural_studies;5
annotation;visualisation;4
annotation;translation;4
annotation;named_entities;4
annotation;maps_and_mapping;4
annotation;linked_open_data;4
annotation;visualisation;4
annotation;translation;4
annotation;named_entities;4
annotation;maps_and_mapping;4
annotation;linked_open_data;4
encoding;standards;4
encoding;standards;4
text_analysis;visualisation;4
text_analysis;visualisation;4
text_mining;text_analysis;4
text_mining;text_analysis;4
translation;encoding;4
translation;encoding;4
treebank;encoding;4
treebank;encoding;4
visualisation;linked_open_data;4
visualisation;data_mining;4
visualisation;linked_open_data;4
visualisation;data_mining;4
annotation;xml;3
annotation;epigraphy;3
annotation;digitisation;3
annotation;annotation;3
annotation;xml;3
annotation;epigraphy;3
annotation;digitisation;3
annotation;annotation;3
encoding;visualisation;3
encoding;database;3
encoding;visualisation;3
encoding;database;3
linked_open_data;annotation;3
linked_open_data;annotation;3
text_analysis;translation;3
text_analysis;translation;3
text_mining;visualisation;3
text_mining;treebank;3
text_mining;visualisation;3
text_mining;treebank;3
translation;text_analysis;3
translation;annotation;3
translation;text_analysis;3
translation;annotation;3
treebank;text_analysis;3
treebank;text_analysis;3
visualisation;digital_methods;3
visualisation;digital_methods;3
annotation;text_mining;2
annotation;text_encoding;2
annotation;teaching_and_pedagogy;2
annotation;prosopography;2
annotation;objects_and_artefacts;2
annotation;manuscript;2
annotation;data_mining;2
annotation;text_mining;2
annotation;text_encoding;2
annotation;teaching_and_pedagogy;2
annotation;prosopography;2
annotation;objects_and_artefacts;2
annotation;manuscript;2
annotation;data_mining;2
data_mining;visualisation;2
data_mining;treebank;2
data_mining;text_mining;2
data_mining;text_analysis;2
data_mining;standards;2
data_mining;named_entities;2
data_mining;linked_open_data;2
data_mining;geography;2
data_mining;database;2
data_mining;visualisation;2
data_mining;treebank;2
