;thèmes;fréquences
1;annotation;71
2;archeology;9
3;copyright license and open access;12
4;crowdsourcing;6
5;cultural studies;16
6;data analysis;3
7;database;18
8;data mining;27
9;digital archives and library;13
10;digital edition;4
11;digital humanities history;1
12;digital methods;19
13;digitisation;26
14;encoding;38
15;epigraphy;21
16;geography;19
17;GLAM: galleries, libraries, archives, museums;4
18;linked open data;42
19;manuscript;10
20;maps and mapping;24
21;named entities;18
22;NLP;7
23;objects and artefacts;17
24;paleography;4
25;photography;3
26;prosopography;9
27;research process;1
28;scholarly editing;1
29;semantic Web;5
30;semantics;1
31;sentiment analysis;1
32;standards;17
33;teaching and pedagogy;13
34;text analysis;26
35;text encoding;12
36;text mining;25
37;topic modeling;1
38;translation;26
39;treebank;33
40;virtual and augmented reality;1
41;visualisation;61
42;XML-TEI;11
