institutions_1                                                                          ,countries_1           ,institutions_2                                                      ,countries_2        , institutions_3                                    ,countries_3     ,institutions_4                                                     ,countries_4 ,institutions_5       ,countries_5 ,
University of Leipzig                                                                   ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Center for Hellenic Studies, Harvard University"                                       ,USA                   ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Tbilisi State University, Georgia"                                                     ,Georgia               ,"Tbilisi State University,Georgia"                                  ,Georgia            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Deutsches Archäologisches Institut, Berlin"                                            ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University Lyon 2                                                                       ,France                ,Tufts University                                                    ,USA                ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University Lyon 2                                                                       ,France                ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Sofia                                                                     ,Bulgaria              ,University of Sofia                                                 ,Bulgaria           ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Universidade Estadual Paulista                                                          ,Brazil                ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Zagreb                                                                    ,Croatia               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,Tufts University / University of Leipzig                            ,USA / Germany      , "Center for Hellenic Studies, Harvard University" ,Greece          ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,University of Oslo                                                  ,Norway             ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,University of Bari / University of Leipzig                          ,Italy / Germany    ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Oslo                                                                      ,Norway                ,University of London                                                ,England            , King's College London                             ,England         ,                                                                   ,            ,                     ,            ,
Tufts University                                                                        ,USA                   ,University of London                                                ,England            , Tufts University                                  ,USA             ,University of Heidelberg                                           ,Germany     ,                     ,            ,
University of Florida                                                                   ,USA                   ,University of Florida                                               ,USA                , King's College London                             ,England         ,                                                                   ,            ,                     ,            ,
King's College London                                                                   ,England               ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Franklin & Marshall College                                                             ,USA                   ,University of Iowa                                                  ,USA                , Tufts University                                  ,USA             ,"Rhodes College & Center for Hellenic Studies, Harvard University" ,Greece      ,                     ,            ,
University Lyon 2                                                                       ,France                ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Paris Nanterre University                                                               ,France                ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Florida                                                                   ,USA                   ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Ain Shams University, Cairo / University of Heidelberg"                                ,Egypt / Germany       ,Tufts University                                                    ,USA                ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Bari / University of Leipzig                                              ,Italy / Germany       ,University of Leipzig                                               ,Germany            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Zagreb                                                                    ,Croatia               ,University of Zagreb                                                ,Croatia            , University of Zagreb                              ,Croatia         ,University of Zagreb                                               ,Croatia     ,                     ,            ,
Universidade Estadual Paulista                                                          ,Brazil                ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Tbilisi State University, Georgia"                                                     ,Georgia               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Freiburg                                                                  ,Germany               ,University of Leipzig                                               ,Germany            , University of Bari / University of Leipzig        ,Italy / Germany ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,University of Freiburg                                              ,Germany            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,Tufts University / University of Leipzig                            ,USA / Germany      ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Tbilisi State University, Georgia"                                                     ,Georgia               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Sofia                                                                     ,Bulgaria              ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Institute for the Study of the Ancient World, New York University"                     ,USA                   ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
King's College London                                                                   ,England               ,"Ain Shams University,Cairo / University of Heidelberg"             ,Egypt / Germany    , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
King's College London                                                                   ,England               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Institute for the Study of the Ancient World, New York University"                     ,USA                   ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Lancaster University                                                                    ,England               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Roehampton University                                                                   ,England               ,University of Exeter                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Institute for the Study of the Ancient World, New York University"                     ,USA                   ,"Institute for the Study of the Ancient World, New York University" ,USA                ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Institute of Historical Research                                                        ,England               ,Institute of Historical Research                                    ,England            , School of Advanced Study                          ,England         ,                                                                   ,            ,                     ,            ,
Katholieke Universiteit Leuven                                                          ,Belgium               ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
