n_total,season,n_in_season,date,title,themes_1,themes_2,themes_3,class outline
1,NA,1,07/04/2015,Introduction to the Course,,,,
2,NA,2,14/04/2015,"Ancient Named Entities in the Digital Age [Introduction to onomastics, prosopography, and geography]",prosopography,geography,named entities,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
3,NA,3,21/04/2015,"The Big Families [Examples of marked-up inscriptions, names, families, locations]",text encoding,named entities,,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
4,NA,4,28/04/2015,"Colonies and politics [Smith’s Dictionaries (translate and annotate entries), updating Wikipedia entries, SNAP ontology]",text encoding,semantic Web,linked open data,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
5,NA,5,05/05/2015,Who are the actors? Study in the language of Thuc. 1.89-118,named entities,semantics,text mining,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
6,NA,6,12/05/2015,Thucydides and the revolt of Thasos (common session from Thasos) [Source analysis on Thasos],named entities,text encoding,epigraphy,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
7,NA,7,19/05/2015,What does Thucydides say about Thasos in his book? Can we see ruins that can be linked with the text? Thasian walls (common session from Thasos) [Funerary monuments (list of casualties) linking with literary sources],encoding,linked open data,visualisation,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
8,NA,8,26/05/2015,The revolt of Samos in the ancient sources [Non verbal objects],objects and artefacts,named entities,text analysis,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
9,NA,9,02/06/2015,"Thucydides and Thrace: linking texts, objects, and places [Annotating inscriptions with EpiDoc, translating inscriptions through EAGLE Europeana, annotating inscriptions in the Louvre, coins]",named entities,objects and artefacts,linked open data,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
10,NA,10,09/06/2015,Keywords of war? Follow the words in Thucydides [Morphological annotations],named entities,encoding,translation,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
11,NA,11,16/06/2015,Treebanking texts and translations [Bare trees],text encoding,treebank,translation,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
12,NA,12,23/06/2015,Comparing trees: an introduction to treebanking evaluation [Annotating trees],text encoding,treebank,,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
